code,condition
78961,"Abdominal tenderness, right upper quadrant"
78962,"Abdominal tenderness, left upper quadrant"
78963,"Abdominal tenderness, right lower quadrant"
78964,"Abdominal tenderness, left lower quadrant"
78965,"Abdominal tenderness, periumbilic"
78966,"Abdominal tenderness, epigastric"
78967,"Abdominal tenderness, generalized"
78969,"Abdominal tenderness, other specified site"
7897,Colic
9551,Injury to median nerve
9552,Injury to ulnar nerve
9553,Injury to radial nerve
9554,Injury to musculocutaneous nerve
9555,"Injury to cutaneous sensory nerve, upper limb"
9556,"Injury to digital nerve, upper limb"
9557,Injury to other specified nerve(s) of shoulder girdle and upper limb
9558,Injury to multiple nerves of shoulder girdle and upper limb
9559,Injury to unspecified nerve of shoulder girdle and upper limb
9562,Injury to posterior tibial nerve
9563,Injury to peroneal nerve
9564,"Injury to cutaneous sensory nerve, lower limb"
9565,Injury to other specified nerve(s) of pelvic girdle and lower limb
9568,Injury to multiple nerves of pelvic girdle and lower limb
9569,Injury to unspecified nerve of pelvic girdle and lower limb
9570,Injury to superficial nerves of head and neck
9571,Injury to other specified nerve(s)
9578,Injury to multiple nerves in several parts
9579,"Injury to nerves, unspecified site"
71930,"Palindromic rheumatism, site unspecified"
71931,"Palindromic rheumatism, shoulder region"
71932,"Palindromic rheumatism, upper arm"
71933,"Palindromic rheumatism, forearm"
71934,"Palindromic rheumatism, hand"
71935,"Palindromic rheumatism, pelvic region and thigh"
71936,"Palindromic rheumatism, lower leg"
71937,"Palindromic rheumatism, ankle and foot"
71938,"Palindromic rheumatism, other specified sites"
71939,"Palindromic rheumatism, multiple sites"
7290,"Rheumatism, unspecified and fibrositis"
7142,Other rheumatoid arthritis with visceral or systemic involvement
71430,"Polyarticular juvenile rheumatoid arthritis, chronic or unspecified"
71431,"Polyarticular juvenile rheumatoid arthritis, acute"
71432,Pauciarticular juvenile rheumatoid arthritis
71433,Monoarticular juvenile rheumatoid arthritis
7140,Rheumatoid arthritis
71481,Rheumatoid lung
00323,Salmonella arthritis
05671,Arthritis due to rubella
09850,Gonococcal arthritis
71100,"Pyogenic arthritis, site unspecified"
71101,"Pyogenic arthritis, shoulder region"
71102,"Pyogenic arthritis, upper arm"
71103,"Pyogenic arthritis, forearm"
71104,"Pyogenic arthritis, hand"
71105,"Pyogenic arthritis, pelvic region and thigh"
71106,"Pyogenic arthritis, lower leg"
71107,"Pyogenic arthritis, ankle and foot"
71108,"Pyogenic arthritis, other specified sites"
71109,"Pyogenic arthritis, multiple sites"
71110,"Arthropathy associated with Reiter's disease and nonspecific urethritis, site unspecified"
71111,"Arthropathy associated with Reiter's disease and nonspecific urethritis, shoulder region"
71112,"Arthropathy associated with Reiter's disease and nonspecific urethritis, upper arm"
71113,"Arthropathy associated with Reiter's disease and nonspecific urethritis, forearm"
71114,"Arthropathy associated with Reiter's disease and nonspecific urethritis, hand"
71115,"Arthropathy associated with Reiter's disease and nonspecific urethritis, pelvic region and thigh"
71116,"Arthropathy associated with Reiter's disease and nonspecific urethritis, lower leg"
71117,"Arthropathy associated with Reiter's disease and nonspecific urethritis, ankle and foot"
71118,"Arthropathy associated with Reiter's disease and nonspecific urethritis, other specified sites"
71119,"Arthropathy associated with Reiter's disease and nonspecific urethritis, multiple sites"
71120,"Arthropathy in Behcet's syndrome, site unspecified"
71121,"Arthropathy in Behcet's syndrome, shoulder region"
71122,"Arthropathy in Behcet's syndrome, upper arm"
71123,"Arthropathy in Behcet's syndrome, forearm"
71124,"Arthropathy in Behcet's syndrome, hand"
71125,"Arthropathy in Behcet's syndrome, pelvic region and thigh"
71126,"Arthropathy in Behcet's syndrome, lower leg"
71127,"Arthropathy in Behcet's syndrome, ankle and foot"
71128,"Arthropathy in Behcet's syndrome, other specified sites"
71129,"Arthropathy in Behcet's syndrome, multiple sites"
71140,"Arthropathy associated with other bacterial diseases, site unspecified"
71141,"Arthropathy associated with other bacterial diseases, shoulder region"
71142,"Arthropathy associated with other bacterial diseases, upper arm"
71143,"Arthropathy associated with other bacterial diseases, forearm"
71144,"Arthropathy associated with other bacterial diseases, hand"
71145,"Arthropathy associated with other bacterial diseases, pelvic region and thigh"
71146,"Arthropathy associated with other bacterial diseases, lower leg"
71147,"Arthropathy associated with other bacterial diseases, ankle and foot"
71148,"Arthropathy associated with other bacterial diseases, other specified sites"
71149,"Arthropathy associated with other bacterial diseases, multiple sites"
71150,"Arthropathy associated with other viral diseases, site unspecified"
71151,"Arthropathy associated with other viral diseases, shoulder region"
71152,"Arthropathy associated with other viral diseases, upper arm"
71153,"Arthropathy associated with other viral diseases, forearm"
71154,"Arthropathy associated with other viral diseases, hand"
71155,"Arthropathy associated with other viral diseases, pelvic region and thigh"
71156,"Arthropathy associated with other viral diseases, lower leg"
71157,"Arthropathy associated with other viral diseases, ankle and foot"
71158,"Arthropathy associated with other viral diseases, other specified sites"
71159,"Arthropathy associated with other viral diseases, multiple sites"
71160,"Arthropathy associated with mycoses, site unspecified"
71161,"Arthropathy associated with mycoses, shoulder region"
71162,"Arthropathy associated with mycoses, upper arm"
71163,"Arthropathy associated with mycoses, forearm"
71164,"Arthropathy associated with mycoses, hand"
71165,"Arthropathy associated with mycoses, pelvic region and thigh"
71166,"Arthropathy associated with mycoses, lower leg"
71167,"Arthropathy associated with mycoses, ankle and foot"
71168,"Arthropathy associated with mycoses, other specified sites"
71169,"Arthropathy associated with mycoses, involving multiple sites"
71180,"Arthropathy associated with other infectious and parasitic diseases, site unspecified"
71181,"Arthropathy associated with other infectious and parasitic diseases, shoulder region"
71182,"Arthropathy associated with other infectious and parasitic diseases, upper arm"
71183,"Arthropathy associated with other infectious and parasitic diseases, forearm"
71184,"Arthropathy associated with other infectious and parasitic diseases, hand"
71185,"Arthropathy associated with other infectious and parasitic diseases, pelvic region and thigh"
71186,"Arthropathy associated with other infectious and parasitic diseases, lower leg"
71187,"Arthropathy associated with other infectious and parasitic diseases, ankle and foot"
71188,"Arthropathy associated with other infectious and parasitic diseases, other specified sites"
71189,"Arthropathy associated with other infectious and parasitic diseases, multiple sites"
71190,"Unspecified infective arthritis, site unspecified"
71191,"Unspecified infective arthritis, shoulder region"
71192,"Unspecified infective arthritis, upper arm"
71193,"Unspecified infective arthritis, forearm"
71194,"Unspecified infective arthritis, hand"
71195,"Unspecified infective arthritis, pelvic region and thigh"
71196,"Unspecified infective arthritis, lower leg"
71197,"Unspecified infective arthritis, ankle and foot"
71198,"Unspecified infective arthritis, other specified sites"
71199,"Unspecified infective arthritis, multiple sites"
7140,Rheumatoid arthritis
7142,Other rheumatoid arthritis with visceral or systemic involvement
71430,"Polyarticular juvenile rheumatoid arthritis, chronic or unspecified"
71431,"Polyarticular juvenile rheumatoid arthritis, acute"
71432,Pauciarticular juvenile rheumatoid arthritis
71433,Monoarticular juvenile rheumatoid arthritis
7144,Chronic postrheumatic arthropathy
71620,"Allergic arthritis, site unspecified"
71621,"Allergic arthritis, shoulder region"
71622,"Allergic arthritis, upper arm"
71623,"Allergic arthritis, forearm"
71624,"Allergic arthritis, hand"
71625,"Allergic arthritis, pelvic region and thigh"
71626,"Allergic arthritis, lower leg"
71627,"Allergic arthritis, ankle and foot"
71628,"Allergic arthritis, other specified sites"
71629,"Allergic arthritis, multiple sites"
71630,"Climacteric arthritis, site unspecified"
71631,"Climacteric arthritis, shoulder region"
71632,"Climacteric arthritis, upper arm"
71633,"Climacteric arthritis, forearm"
71634,"Climacteric arthritis, hand"
71635,"Climacteric arthritis, pelvic region and thigh"
71636,"Climacteric arthritis, lower leg"
71637,"Climacteric arthritis, ankle and foot"
71638,"Climacteric arthritis, other specified sites"
71639,"Climacteric arthritis, multiple sites"
71650,"Unspecified polyarthropathy or polyarthritis, site unspecified"
71651,"Unspecified polyarthropathy or polyarthritis, shoulder region"
71652,"Unspecified polyarthropathy or polyarthritis, upper arm"
71653,"Unspecified polyarthropathy or polyarthritis, forearm"
71654,"Unspecified polyarthropathy or polyarthritis, hand"
71655,"Unspecified polyarthropathy or polyarthritis, pelvic region and thigh"
71656,"Unspecified polyarthropathy or polyarthritis, lower leg"
71657,"Unspecified polyarthropathy or polyarthritis, ankle and foot"
71658,"Unspecified polyarthropathy or polyarthritis, other specified sites"
71659,"Unspecified polyarthropathy or polyarthritis, multiple sites"
71660,"Unspecified monoarthritis, site unspecified"
71661,"Unspecified monoarthritis, shoulder region"
71662,"Unspecified monoarthritis, upper arm"
71663,"Unspecified monoarthritis, forearm"
71664,"Unspecified monoarthritis, hand"
71665,"Unspecified monoarthritis, pelvic region and thigh"
71666,"Unspecified monoarthritis, lower leg"
71667,"Unspecified monoarthritis, ankle and foot"
71668,"Unspecified monoarthritis, other specified sites"
09852,Gonococcal bursitis
72633,Olecranon bursitis
72661,Pes anserinus tendinitis or bursitis
72662,Tibial collateral ligament bursitis
72663,Fibular collateral ligament bursitis
72665,Prepatellar bursitis
72671,Achilles bursitis or tendinitis
7272,Specific bursitides often of occupational origin
7273,Other bursitis
72611,Calcifying tendinitis of shoulder
72661,Pes anserinus tendinitis or bursitis
72664,Patellar tendinitis
72671,Achilles bursitis or tendinitis
72672,Tibialis tendinitis
3540,Carpal tunnel syndrome
3555,Tarsal tunnel syndrome
78071,Chronic fatigue syndrome
7105,Eosinophilia myalgia syndrome
725,Polymyalgia rheumatica
7291,"Myalgia and myositis, unspecified"
7200,Ankylosing spondylitis
7216,Ankylosing vertebral hyperostosis
37334,Discoid lupus erythematosus of eyelid
6954,Lupus erythematosus
7100,Systemic lupus erythematosus
09853,Gonococcal spondylitis
37552,Stenosis of lacrimal punctum
37553,Stenosis of lacrimal canaliculi
37554,Stenosis of lacrimal sac
37556,"Stenosis of nasolacrimal duct, acquired"
38050,"Acquired stenosis of external ear canal, unspecified as to cause"
38051,Acquired stenosis of external ear canal secondary to trauma
38052,Acquired stenosis of external ear canal secondary to surgery
38053,Acquired stenosis of external ear canal secondary to inflammation
3940,Mitral stenosis
3942,Mitral stenosis with insufficiency
3950,Rheumatic aortic stenosis
3952,Rheumatic aortic stenosis with insufficiency
3960,Mitral valve stenosis and aortic valve stenosis
3961,Mitral valve stenosis and aortic valve insufficiency
3962,Mitral valve insufficiency and aortic valve stenosis
43300,Occlusion and stenosis of basilar artery without mention of cerebral infarction
43301,Occlusion and stenosis of basilar artery with cerebral infarction
43310,Occlusion and stenosis of carotid artery without mention of cerebral infarction
43311,Occlusion and stenosis of carotid artery with cerebral infarction
43320,Occlusion and stenosis of vertebral artery without mention of cerebral infarction
43321,Occlusion and stenosis of vertebral artery with cerebral infarction
43330,Occlusion and stenosis of multiple and bilateral precerebral arteries without mention of cerebral infarction
43331,Occlusion and stenosis of multiple and bilateral precerebral arteries with cerebral infarction
43380,Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction
43381,Occlusion and stenosis of other specified precerebral artery with cerebral infarction
43390,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction
43391,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction
47874,Stenosis of larynx
5303,Stricture and stenosis of esophagus
5370,Acquired hypertrophic pyloric stenosis
5376,Hourglass stricture or stenosis of stomach
5692,Stenosis of rectum and anus
6224,Stricture and stenosis of cervix
7230,Spinal stenosis in cervical region
72400,"Spinal stenosis, unspecified region"
72401,"Spinal stenosis, thoracic region"
72402,"Spinal stenosis, lumbar region, without neurogenic claudication"
72403,"Spinal stenosis, lumbar region, with neurogenic claudication"
72409,"Spinal stenosis, other region"
74602,"Stenosis of pulmonary valve, congenital"
7461,"Tricuspid atresia and stenosis, congenital"
7463,Congenital stenosis of aortic valve
7465,Congenital mitral stenosis
74681,Subaortic stenosis
74683,Infundibular pulmonic stenosis
74722,Atresia and stenosis of aorta
7503,"Tracheoesophageal fistula, esophageal atresia and stenosis"
7505,Congenital hypertrophic pyloric stenosis
7511,Atresia and stenosis of small intestine
7512,"Atresia and stenosis of large intestine, rectum, and anal canal"
7536,Atresia and stenosis of urethra and bladder neck
05313,Postherpetic polyneuropathy
07272,Mumps polyneuropathy
33700,"Idiopathic peripheral autonomic neuropathy, unspecified"
33709,Other idiopathic peripheral autonomic neuropathy
3371,Peripheral autonomic neuropathy in disorders classified elsewhere
3560,Hereditary peripheral neuropathy
3562,Hereditary sensory neuropathy
3564,Idiopathic progressive polyneuropathy
3568,Other specified idiopathic peripheral neuropathy
3569,Unspecified hereditary and idiopathic peripheral neuropathy
3571,Polyneuropathy in collagen vascular disease
3572,Polyneuropathy in diabetes
3573,Polyneuropathy in malignant disease
3574,Polyneuropathy in other diseases classified elsewhere
3575,Alcoholic polyneuropathy
3576,Polyneuropathy due to drugs
3577,Polyneuropathy due to other toxic agents
35782,Critical illness polyneuropathy
35789,Other inflammatory and toxic neuropathy
3579,Unspecified inflammatory and toxic neuropathy
37733,Nutritional optic neuropathy
37734,Toxic optic neuropathy
37741,Ischemic optic neuropathy
27400,"Gouty arthropathy, unspecified"
27401,Acute gouty arthropathy
27402,Chronic gouty arthropathy without mention of tophus (tophi)
27403,Chronic gouty arthropathy with tophus (tophi)
27410,"Gouty nephropathy, unspecified"
27419,Other gouty nephropathy
27481,Gouty tophi of ear
27482,"Gouty tophi of other sites, except ear"
27489,Gout with other specified manifestations
2749,"Gout, unspecified"
33524,Primary lateral sclerosis
05312,Postherpetic trigeminal neuralgia
3501,Trigeminal neuralgia
3521,Glossopharyngeal neuralgia
7292,"Neuralgia, neuritis, and radiculitis, unspecified"
30780,"Psychogenic pain, site unspecified"
30789,Other pain disorders related to psychological factors
30780,"Psychogenic pain, site unspecified"
30789,Other pain disorders related to psychological factors
