code,condition
1982,Secondary malignant neoplasm of skin
1983,Secondary malignant neoplasm of brain and spinal cord
1984,Secondary malignant neoplasm of other parts of nervous system
1985,Secondary malignant neoplasm of bone and bone marrow
1986,Secondary malignant neoplasm of ovary
1987,Secondary malignant neoplasm of adrenal gland
1990,Disseminated malignant neoplasm without specification of site
1991,Other malignant neoplasm without specification of site
1992,Malignant neoplasm associated with transplant organ
2300,"Carcinoma in situ of lip, oral cavity, and pharynx"
2301,Carcinoma in situ of esophagus
2302,Carcinoma in situ of stomach
2303,Carcinoma in situ of colon
2304,Carcinoma in situ of rectum
2305,Carcinoma in situ of anal canal
2306,"Carcinoma in situ of anus, unspecified"
2307,Carcinoma in situ of other and unspecified parts of intestine
2308,Carcinoma in situ of liver and biliary system
2309,Carcinoma in situ of other and unspecified digestive organs
2310,Carcinoma in situ of larynx
2311,Carcinoma in situ of trachea
2312,Carcinoma in situ of bronchus and lung
2318,Carcinoma in situ of other specified parts of respiratory system
2319,"Carcinoma in situ of respiratory system, part unspecified"
2320,Carcinoma in situ of skin of lip
2321,"Carcinoma in situ of eyelid, including canthus"
2322,Carcinoma in situ of skin of ear and external auditory canal
2323,Carcinoma in situ of skin of other and unspecified parts of face
2324,Carcinoma in situ of scalp and skin of neck
2325,"Carcinoma in situ of skin of trunk, except scrotum"
2326,"Carcinoma in situ of skin of upper limb, including shoulder"
2327,"Carcinoma in situ of skin of lower limb, including hip"
2328,Carcinoma in situ of other specified sites of skin
2329,"Carcinoma in situ of skin, site unspecified"
2330,Carcinoma in situ of breast
2331,Carcinoma in situ of cervix uteri
2332,Carcinoma in situ of other and unspecified parts of uterus
2334,Carcinoma in situ of prostate
2335,Carcinoma in situ of penis
2336,Carcinoma in situ of other and unspecified male genital organs
2337,Carcinoma in situ of bladder
2339,Carcinoma in situ of other and unspecified urinary organs
2340,Carcinoma in situ of eye
2348,Carcinoma in situ of other specified sites
2349,"Carcinoma in situ, site unspecified"
2350,Neoplasm of uncertain behavior of major salivary glands
2351,"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx"
2352,"Neoplasm of uncertain behavior of stomach, intestines, and rectum"
2353,Neoplasm of uncertain behavior of liver and biliary passages
2354,Neoplasm of uncertain behavior of retroperitoneum and peritoneum
2355,Neoplasm of uncertain behavior of other and unspecified digestive organs
2356,Neoplasm of uncertain behavior of larynx
2357,"Neoplasm of uncertain behavior of trachea, bronchus, and lung"
2358,"Neoplasm of uncertain behavior of pleura, thymus, and mediastinum"
2359,Neoplasm of uncertain behavior of other and unspecified respiratory organs
2360,Neoplasm of uncertain behavior of uterus
2361,Neoplasm of uncertain behavior of placenta
2362,Neoplasm of uncertain behavior of ovary
2363,Neoplasm of uncertain behavior of other and unspecified female genital organs
2364,Neoplasm of uncertain behavior of testis
2365,Neoplasm of uncertain behavior of prostate
2366,Neoplasm of uncertain behavior of other and unspecified male genital organs
2367,Neoplasm of uncertain behavior of bladder
2370,Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct
2371,Neoplasm of uncertain behavior of pineal gland
2372,Neoplasm of uncertain behavior of adrenal gland
2373,Neoplasm of uncertain behavior of paraganglia
2374,Neoplasm of uncertain behavior of other and unspecified endocrine glands
2375,Neoplasm of uncertain behavior of brain and spinal cord
2376,Neoplasm of uncertain behavior of meninges
2379,Neoplasm of uncertain behavior of other and unspecified parts of nervous system
2380,Neoplasm of uncertain behavior of bone and articular cartilage
2381,Neoplasm of uncertain behavior of connective and other soft tissue
2382,Neoplasm of uncertain behavior of skin
2383,Neoplasm of uncertain behavior of breast
2384,Polycythemia vera
2385,Neoplasm of uncertain behavior of histiocytic and mast cells
2386,Neoplasm of uncertain behavior of plasma cells
2388,Neoplasm of uncertain behavior of other specified sites
2389,"Neoplasm of uncertain behavior, site unspecified"
2390,Neoplasm of unspecified nature of digestive system
2391,Neoplasm of unspecified nature of respiratory system
2392,"Neoplasm of unspecified nature of bone, soft tissue, and skin"
2393,Neoplasm of unspecified nature of breast
2394,Neoplasm of unspecified nature of bladder
2395,Neoplasm of unspecified nature of other genitourinary organs
2396,Neoplasm of unspecified nature of brain
2397,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system
2399,"Neoplasm of unspecified nature, site unspecified"
17300,Unspecified malignant neoplasm of skin of lip
17301,Basal cell carcinoma of skin of lip
17302,Squamous cell carcinoma of skin of lip
17309,Other specified malignant neoplasm of skin of lip
17310,"Unspecified malignant neoplasm of eyelid, including canthus"
17311,"Basal cell carcinoma of eyelid, including canthus"
17312,"Squamous cell carcinoma of eyelid, including canthus"
17319,"Other specified malignant neoplasm of eyelid, including canthus"
17320,Unspecified malignant neoplasm of skin of ear and external auditory canal
17321,Basal cell carcinoma of skin of ear and external auditory canal
17322,Squamous cell carcinoma of skin of ear and external auditory canal
17329,Other specified malignant neoplasm of skin of ear and external auditory canal
17330,Unspecified malignant neoplasm of skin of other and unspecified parts of face
17331,Basal cell carcinoma of skin of other and unspecified parts of face
17332,Squamous cell carcinoma of skin of other and unspecified parts of face
17339,Other specified malignant neoplasm of skin of other and unspecified parts of face
17340,Unspecified malignant neoplasm of scalp and skin of neck
17341,Basal cell carcinoma of scalp and skin of neck
17342,Squamous cell carcinoma of scalp and skin of neck
17349,Other specified malignant neoplasm of scalp and skin of neck
17350,"Unspecified malignant neoplasm of skin of trunk, except scrotum"
17351,"Basal cell carcinoma of skin of trunk, except scrotum"
17352,"Squamous cell carcinoma of skin of trunk, except scrotum"
17359,"Other specified malignant neoplasm of skin of trunk, except scrotum"
17360,"Unspecified malignant neoplasm of skin of upper limb, including shoulder"
17361,"Basal cell carcinoma of skin of upper limb, including shoulder"
17362,"Squamous cell carcinoma of skin of upper limb, including shoulder"
17369,"Other specified malignant neoplasm of skin of upper limb, including shoulder"
17370,"Unspecified malignant neoplasm of skin of lower limb, including hip"
17371,"Basal cell carcinoma of skin of lower limb, including hip"
17372,"Squamous cell carcinoma of skin of lower limb, including hip"
17379,"Other specified malignant neoplasm of skin of lower limb, including hip"
17380,Unspecified malignant neoplasm of other specified sites of skin
17381,Basal cell carcinoma of other specified sites of skin
17382,Squamous cell carcinoma of other specified sites of skin
17389,Other specified malignant neoplasm of other specified sites of skin
17390,"Unspecified malignant neoplasm of skin, site unspecified"
17391,"Basal cell carcinoma of skin, site unspecified"
17392,"Squamous cell carcinoma of skin, site unspecified"
17399,"Other specified malignant neoplasm of skin, site unspecified"
19881,Secondary malignant neoplasm of breast
19882,Secondary malignant neoplasm of genital organs
19889,Secondary malignant neoplasm of other specified sites
20000,"Reticulosarcoma, unspecified site, extranodal and solid organ sites"
20001,"Reticulosarcoma, lymph nodes of head, face, and neck"
20002,"Reticulosarcoma, intrathoracic lymph nodes"
20003,"Reticulosarcoma, intra-abdominal lymph nodes"
20004,"Reticulosarcoma, lymph nodes of axilla and upper limb"
20005,"Reticulosarcoma, lymph nodes of inguinal region and lower limb"
20006,"Reticulosarcoma, intrapelvic lymph nodes"
20007,"Reticulosarcoma, spleen"
20008,"Reticulosarcoma, lymph nodes of multiple sites"
20010,"Lymphosarcoma, unspecified site, extranodal and solid organ sites"
20011,"Lymphosarcoma, lymph nodes of head, face, and neck"
20012,"Lymphosarcoma, intrathoracic lymph nodes"
20013,"Lymphosarcoma, intra-abdominal lymph nodes"
20014,"Lymphosarcoma, lymph nodes of axilla and upper limb"
20015,"Lymphosarcoma, lymph nodes of inguinal region and lower limb"
20016,"Lymphosarcoma, intrapelvic lymph nodes"
20017,"Lymphosarcoma, spleen"
20018,"Lymphosarcoma, lymph nodes of multiple sites"
20020,"Burkitt's tumor or lymphoma, unspecified site, extranodal and solid organ sites"
20021,"Burkitt's tumor or lymphoma, lymph nodes of head, face, and neck"
20022,"Burkitt's tumor or lymphoma, intrathoracic lymph nodes"
20023,"Burkitt's tumor or lymphoma, intra-abdominal lymph nodes"
20024,"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb"
20025,"Burkitt's tumor or lymphoma, lymph nodes of inguinal region and lower limb"
20026,"Burkitt's tumor or lymphoma, intrapelvic lymph nodes"
20027,"Burkitt's tumor or lymphoma, spleen"
20028,"Burkitt's tumor or lymphoma, lymph nodes of multiple sites"
20030,"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites"
20031,"Marginal zone lymphoma, lymph nodes of head, face, and neck"
20032,"Marginal zone lymphoma, intrathoracic lymph nodes"
20033,"Marginal zone lymphoma, intraabdominal lymph nodes"
20034,"Marginal zone lymphoma, lymph nodes of axilla and upper limb"
20035,"Marginal zone lymphoma, lymph nodes of inguinal region and lower limb"
20036,"Marginal zone lymphoma, intrapelvic lymph nodes"
20037,"Marginal zone lymphoma, spleen"
20038,"Marginal zone lymphoma, lymph nodes of multiple sites"
20040,"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites"
20041,"Mantle cell lymphoma, lymph nodes of head, face, and neck"
20042,"Mantle cell lymphoma, intrathoracic lymph nodes"
20043,"Mantle cell lymphoma, intra-abdominal lymph nodes"
20044,"Mantle cell lymphoma, lymph nodes of axilla and upper limb"
20045,"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb"
20046,"Mantle cell lymphoma, intrapelvic lymph nodes"
20047,"Mantle cell lymphoma, spleen"
20048,"Mantle cell lymphoma, lymph nodes of multiple sites"
20050,"Primary central nervous system lymphoma, unspecified site, extranodal and solid organ sites"
20051,"Primary central nervous system lymphoma, lymph nodes of head, face, and neck"
20052,"Primary central nervous system lymphoma, intrathoracic lymph nodes"
20053,"Primary central nervous system lymphoma, intra-abdominal lymph nodes"
20054,"Primary central nervous system lymphoma, lymph nodes of axilla and upper limb"
20055,"Primary central nervous system lymphoma, lymph nodes of inguinal region and lower limb"
20056,"Primary central nervous system lymphoma, intrapelvic lymph nodes"
20057,"Primary central nervous system lymphoma, spleen"
20058,"Primary central nervous system lymphoma, lymph nodes of multiple sites"
20060,"Anaplastic large cell lymphoma, unspecified site, extranodal and solid organ sites"
20061,"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck"
20062,"Anaplastic large cell lymphoma, intrathoracic lymph nodes"
20063,"Anaplastic large cell lymphoma, intra-abdominal lymph nodes"
20064,"Anaplastic large cell lymphoma, lymph nodes of axilla and upper limb"
20065,"Anaplastic large cell lymphoma, lymph nodes of inguinal region and lower limb"
20066,"Anaplastic large cell lymphoma, intrapelvic lymph nodes"
20067,"Anaplastic large cell lymphoma, spleen"
20068,"Anaplastic large cell lymphoma, lymph nodes of multiple sites"
20070,"Large cell lymphoma, unspecified site, extranodal and solid organ sites"
20071,"Large cell lymphoma, lymph nodes of head, face, and neck"
20072,"Large cell lymphoma, intrathoracic lymph nodes"
20073,"Large cell lymphoma, intra-abdominal lymph nodes"
20074,"Large cell lymphoma, lymph nodes of axilla and upper limb"
20075,"Large cell lymphoma, lymph nodes of inguinal region and lower limb"
20076,"Large cell lymphoma, intrapelvic lymph nodes"
20077,"Large cell lymphoma, spleen"
20078,"Large cell lymphoma, lymph nodes of multiple sites"
20080,"Other named variants of lymphosarcoma and reticulosarcoma, unspecified site, extranodal and solid organ sites"
20081,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of head, face, and neck"
20082,"Other named variants of lymphosarcoma and reticulosarcoma,intrathoracic lymph nodes"
20083,"Other named variants of lymphosarcoma and reticulosarcoma, intra-abdominal lymph nodes"
20084,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of axilla and upper limb"
20085,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb"
20086,"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes"
20087,"Other named variants of lymphosarcoma and reticulosarcoma, spleen"
20088,"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of multiple sites"
20100,"Hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites"
20101,"Hodgkin's paragranuloma, lymph nodes of head, face, and neck"
20102,"Hodgkin's paragranuloma, intrathoracic lymph nodes"
20103,"Hodgkin's paragranuloma, intra-abdominal lymph nodes"
20104,"Hodgkin's paragranuloma, lymph nodes of axilla and upper limb"
20105,"Hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb"
20106,"Hodgkin's paragranuloma, intrapelvic lymph nodes"
20107,"Hodgkin's paragranuloma, spleen"
20108,"Hodgkin's paragranuloma, lymph nodes of multiple sites"
20110,"Hodgkin's granuloma, unspecified site, extranodal and solid organ sites"
20111,"Hodgkin's granuloma, lymph nodes of head, face, and neck"
20112,"Hodgkin's granuloma, intrathoracic lymph nodes"
20113,"Hodgkin's granuloma, intra-abdominal lymph nodes"
20114,"Hodgkin's granuloma, lymph nodes of axilla and upper limb"
20115,"Hodgkin's granuloma, lymph nodes of inguinal region and lower limb"
