code,condition
2239,"Benign neoplasm of urinary organ, site unspecified"
2240,"Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid"
2241,Benign neoplasm of orbit
2242,Benign neoplasm of lacrimal gland
2243,Benign neoplasm of conjunctiva
2244,Benign neoplasm of cornea
2245,Benign neoplasm of retina
2246,Benign neoplasm of choroid
2247,Benign neoplasm of lacrimal duct
2248,Benign neoplasm of other specified parts of eye
2249,"Benign neoplasm of eye, part unspecified"
2250,Benign neoplasm of brain
2251,Benign neoplasm of cranial nerves
2252,Benign neoplasm of cerebral meninges
2253,Benign neoplasm of spinal cord
2254,Benign neoplasm of spinal meninges
2258,Benign neoplasm of other specified sites of nervous system
2259,"Benign neoplasm of nervous system, part unspecified"
226,Benign neoplasm of thyroid glands
2270,Benign neoplasm of adrenal gland
2271,Benign neoplasm of parathyroid gland
2273,Benign neoplasm of pituitary gland and craniopharyngeal duct
2274,Benign neoplasm of pineal gland
2275,Benign neoplasm of carotid body
2276,Benign neoplasm of aortic body and other paraganglia
2278,Benign neoplasm of other endocrine glands and related structures
2279,"Benign neoplasm of endocrine gland, site unspecified"
22800,Hemangioma of unspecified site
22801,Hemangioma of skin and subcutaneous tissue
22802,Hemangioma of intracranial structures
22803,Hemangioma of retina
22804,Hemangioma of intra-abdominal structures
22809,Hemangioma of other sites
2281,"Lymphangioma, any site"
2290,Benign neoplasm of lymph nodes
2298,Benign neoplasm of other specified sites
2299,Benign neoplasm of unspecified site
